Tibasosa,14745,1,"0,01%"
Tinjacá,3045,0,"0,00%"
Tipacoque,2922,0,"0,00%"
Toca,9902,3,"0,03%"
Togüí,4777,0,"0,00%"
Tópaga,3689,2,"0,05%"
Tota,5180,1,"0,02%"
Tununguá,1951,1,"0,05%"
Turmequé,5545,0,"0,00%"
Tuta,9992,0,"0,00%"
Tutazá,1730,0,"0,00%"
Umbita,10356,0,"0,00%"
Ventaquemada,15937,0,"0,00%"
Viracachá,3090,0,"0,00%"
Zetaquira,4266,0,"0,00%"
Manizales,402646,23,"0,01%"
Aguadas,21043,2,"0,01%"
Anserma,33146,2,"0,01%"
Aranzazu,10768,0,"0,00%"
Belalcázar,10350,0,"0,00%"
Chinchiná,50474,3,"0,01%"
Filadelfia,10234,0,"0,00%"
La Dorada,78949,9,"0,01%"
La Merced,4954,0,"0,00%"
Manzanares,22457,1,"0,00%"
Marmato,9430,1,"0,01%"
Marquetalia,15011,0,"0,00%"
Marulanda,3374,1,"0,03%"
Neira,31630,2,"0,01%"
Norcasia,6132,0,"0,00%"
Pácora,10608,10,"0,09%"
Palestina,17571,3,"0,02%"
Pensilvania,26349,2,"0,01%"
Riosucio,65372,5,"0,01%"
Risaralda,9047,1,"0,01%"
Salamina,15090,2,"0,01%"
Samaná,25800,1,"0,00%"
San José,7599,0,"0,00%"
Supía,27687,4,"0,01%"
Victoria,7913,0,"0,00%"
Villamaría,61871,1,"0,00%"
Viterbo,12385,1,"0,01%"
Florencia,187515,13,"0,01%"
Albania,6429,2,"0,03%"
Belén de Los Andaquies,11836,2,"0,02%"
Cartagena del Chairá,35993,5,"0,01%"
Curillo,11920,1,"0,01%"
El Doncello,22342,1,"0,00%"
El Paujil,21772,1,"0,00%"
La Montañita,24510,2,"0,01%"
Milán,11885,1,"0,01%"
Morelia,3958,0,"0,00%"
Puerto Rico,33765,1,"0,00%"
San José del Fragua,15408,2,"0,01%"
San Vicente del Caguán,74191,8,"0,01%"
Solano,26031,0,"0,00%"
Solita,9119,2,"0,02%"
Valparaíso,11860,1,"0,01%"
Popayán,288636,38,"0,01%"
Almaguer,21391,2,"0,01%"
Argelia,27867,8,"0,03%"
Balboa,26538,1,"0,00%"
Bolívar,44864,5,"0,01%"
Buenos Aires,35197,6,"0,02%"
Cajibío,38932,1,"0,00%"
Caldono,34348,4,"0,01%"
Caloto(1)(3),17748,0,"0,00%"
Corinto,33846,4,"0,01%"
El Tambo,48226,6,"0,01%"
Florencia,6206,13,"0,21%"
Guachené (1) ,19934,0,"0,00%"
Guapi,30042,5,"0,02%"
Inzá,32988,3,"0,01%"
Jambaló,19374,1,"0,01%"
La Sierra,10511,0,"0,00%"
La Vega,47791,2,"0,00%"
López,21019,3,"0,01%"
Mercaderes,18297,2,"0,01%"
Miranda,43333,3,"0,01%"
Morales,26850,3,"0,01%"
Padilla,7629,1,"0,01%"
Paez,36977,4,"0,01%"
Patía,37781,2,"0,01%"
Piamonte,7488,0,"0,00%"
Piendamó,46943,1,"0,00%"
Puerto Tejada,46215,9,"0,02%"
Puracé,15265,0,"0,00%"
Rosas,13669,2,"0,01%"
San Sebastián,14555,0,"0,00%"
Santander de Quilichao,100681,21,"0,02%"
Santa Rosa,10951,3,"0,03%"
Silvia,32769,2,"0,01%"
Sotara,17674,1,"0,01%"
Suárez,18310,1,"0,01%"
Sucre,8837,5,"0,06%"
Timbío,35943,1,"0,00%"
Timbiquí,22166,2,"0,01%"
Toribio,30651,1,"0,00%"
Totoró,21565,2,"0,01%"
Villa Rica,17134,5,"0,03%"
Valledupar,503444,34,"0,01%"
Aguachica,97525,9,"0,01%"
Agustín Codazzi,48805,7,"0,01%"
Astrea,19425,1,"0,01%"
Becerril,13116,1,"0,01%"
Bosconia,40315,3,"0,01%"
Chimichagua,30192,0,"0,00%"
Chiriguaná,18308,2,"0,01%"
Curumaní,22673,5,"0,02%"
El Copey,27000,1,"0,00%"
El Paso,23699,4,"0,02%"
Gamarra,17680,2,"0,01%"
González,6014,0,"0,00%"
La Gloria,12049,0,"0,00%"
La Jagua de Ibirico,22440,4,"0,02%"
Manaure,16266,0,"0,00%"
Pailitas,17622,0,"0,00%"
Pelaya,18421,3,"0,02%"
Pueblo Bello,25158,0,"0,00%"
Río de Oro,13792,0,"0,00%"
La Paz,23065,3,"0,01%"
San Alberto,27025,5,"0,02%"
San Diego,13083,0,"0,00%"
San Martín,19015,7,"0,04%"
Tamalameque,13651,1,"0,01%"
Montería,471867,22,"0,00%"
Ayapel,56082,0,"0,00%"
Buenavista,22953,0,"0,00%"
Canalete,23992,3,"0,01%"
Cereté,94935,6,"0,01%"
Chimá,15679,0,"0,00%"
Chinú,50743,1,"0,00%"
Ciénaga de Oro,70326,0,"0,00%"
Cotorra,15553,0,"0,00%"
La Apartada,16576,2,"0,01%"
Lorica,121793,3,"0,00%"
Los Córdobas,27466,1,"0,00%"
Momil,15357,0,"0,00%"
Montelíbano(1)(3),90450,0,"0,00%"
Moñitos,29512,1,"0,00%"
Planeta Rica,69708,2,"0,00%"
Pueblo Nuevo,42446,0,"0,00%"
Puerto Escondido,33670,2,"0,01%"
Puerto Libertador,55622,3,"0,01%"
Purísima,15201,0,"0,00%"
Sahagún,90494,5,"0,01%"
San Andrés Sotavento (1) (3),48404,0,"0,00%"
San Antero,34196,0,"0,00%"
San Bernardo del Viento,36512,2,"0,01%"
San Carlos,28957,0,"0,00%"
San José de Uré(1),11934,0,"0,00%"
San Pelayo,45816,1,"0,00%"
Tierralta,112206,7,"0,01%"
Tuchín (1),42255,0,"0,00%"
Valencia,47869,1,"0,00%"
Agua de Dios,10534,1,"0,01%"
Albán,5957,0,"0,00%"
Anapoima,14331,2,"0,01%"
Anolaima,11788,1,"0,01%"
Arbeláez,12479,0,"0,00%"
Beltrán,2353,0,"0,00%"
Bituima,2444,0,"0,00%"
Bojacá,13061,0,"0,00%"
Cabrera,4388,0,"0,00%"
Cachipay,9714,0,"0,00%"
Cajicá,62713,2,"0,00%"
Caparrapí,16746,0,"0,00%"
Caqueza,17492,1,"0,01%"
Carmen de Carupa,9555,0,"0,00%"
Chaguaní,3945,0,"0,00%"
Chía,141917,3,"0,00%"
Chipaque,8401,0,"0,00%"
Choachí,10416,0,"0,00%"
Chocontá,28639,0,"0,00%"
Cogua,24522,0,"0,00%"
Cota,27496,2,"0,01%"
Cucunubá,7657,0,"0,00%"
El Colegio,22335,5,"0,02%"
El Peñón,4755,2,"0,04%"
El Rosal,19253,3,"0,02%"
Facatativá,144149,11,"0,01%"
Fomeque,12224,0,"0,00%"
Fosca,8088,0,"0,00%"
Funza,82321,2,"0,00%"
Fúquene,5900,0,"0,00%"
Fusagasugá,147631,3,"0,00%"
Gachala,5652,0,"0,00%"
Gachancipá,16457,3,"0,02%"
Gachetá,11454,0,"0,00%"
Gama,4081,0,"0,00%"
Girardot,107796,2,"0,00%"
Granada,9628,4,"0,04%"
Guachetá,11323,0,"0,00%"
Guaduas,41838,1,"0,00%"
Guasca,15967,1,"0,01%"
Guataquí,2733,0,"0,00%"
Guatavita,6982,0,"0,00%"
Guayabal de Siquima,3679,1,"0,03%"
Guayabetal,5027,1,"0,02%"
Gutiérrez,4456,1,"0,02%"
Jerusalén,2658,0,"0,00%"
Junín,8750,0,"0,00%"
La Calera,29235,0,"0,00%"
La Mesa,33718,4,"0,01%"
La Palma,11198,2,"0,02%"
La Peña,7058,1,"0,01%"
La Vega,14643,2,"0,01%"
Lenguazaque,10458,0,"0,00%"
Macheta,6072,0,"0,00%"
Madrid,85090,3,"0,00%"
Manta,4812,0,"0,00%"
Medina,10225,2,"0,02%"
Mosquera,93461,5,"0,01%"
Nariño,2283,0,"0,00%"
Nemocón,14575,0,"0,00%"
Nilo,20872,0,"0,00%"
Nimaima,7352,0,"0,00%"
Nocaima,8263,0,"0,00%"
Venecia,4097,0,"0,00%"
Pacho,28159,0,"0,00%"
Paime,4091,1,"0,02%"
Pandi,5744,0,"0,00%"
Paratebueno,7861,1,"0,01%"
Pasca,12669,2,"0,02%"
Puerto Salgar,20318,3,"0,01%"
Pulí,3044,0,"0,00%"
Quebradanegra,4774,0,"0,00%"
Quetame,7395,0,"0,00%"
Quipile,8138,0,"0,00%"
Apulo,7813,1,"0,01%"
Ricaurte,10110,0,"0,00%"
San Antonio del Tequendama,13397,1,"0,01%"
San Bernardo,10834,0,"0,00%"
San Cayetano,5358,0,"0,00%"
San Francisco,10289,4,"0,04%"
San Juan de Río Seco,9680,0,"0,00%"
Sasaima,10912,0,"0,00%"
Sesquilé,16484,0,"0,00%"
Sibaté,41975,1,"0,00%"
Silvania,22083,0,"0,00%"
Simijaca,14195,0,"0,00%"
Soacha,567546,38,"0,01%"
Sopó,29714,1,"0,00%"
